Page Title,UI Component Name,Function description,Tshirt Sizing,Number of occurrences,Complexity justification,Page URL,Source block name,Variation type,Other remarks,screenshot path
Real people prescribed ELAHERE share their stories and experiences,Global Header,Contains the site's main navigation and branding.,M,11,"No LLM mapping run. Enable credentials for the block-mapping agent, or assign catalog blocks manually using query_aem_blocks_catalog / MCP list_blocks.",https://www.elahere.com/resources/elahere-stories,global_header,default,templateIds: tpl_0,screenshots/blocks/global_header__default.png
Real people prescribed ELAHERE share their stories and experiences,Skip to Main Content Link,Provides a link to skip directly to the main content for accessibility.,M,9,"No LLM mapping run. Enable credentials for the block-mapping agent, or assign catalog blocks manually using query_aem_blocks_catalog / MCP list_blocks.",https://www.elahere.com/resources/elahere-stories,skip_to_main,default,templateIds: tpl_0,screenshots/blocks/skip_to_main__default.png
Real people prescribed ELAHERE share their stories and experiences,Hero Section,Displays a prominent visual and textual introduction to the page.,M,11,"No LLM mapping run. Enable credentials for the block-mapping agent, or assign catalog blocks manually using query_aem_blocks_catalog / MCP list_blocks.",https://www.elahere.com/resources/elahere-stories,hero_section,default,templateIds: tpl_0,screenshots/blocks/hero_section__default.png
Real people prescribed ELAHERE share their stories and experiences,Jennifer's Story Section,Highlights Jennifer's story with a video and transcript link.,M,1,"No LLM mapping run. Enable credentials for the block-mapping agent, or assign catalog blocks manually using query_aem_blocks_catalog / MCP list_blocks.",https://www.elahere.com/resources/elahere-stories,jennifer_story,default,templateIds: tpl_0,screenshots/blocks/jennifer_story__default.png
Real people prescribed ELAHERE share their stories and experiences,Heidi's Story Section,Highlights Heidi's story with a video and transcript link.,M,1,"No LLM mapping run. Enable credentials for the block-mapping agent, or assign catalog blocks manually using query_aem_blocks_catalog / MCP list_blocks.",https://www.elahere.com/resources/elahere-stories,heidi_story,default,templateIds: tpl_0,screenshots/blocks/heidi_story__default.png
Real people prescribed ELAHERE share their stories and experiences,Cindy's Story Section,Highlights Cindy's story with a video and transcript link.,M,1,"No LLM mapping run. Enable credentials for the block-mapping agent, or assign catalog blocks manually using query_aem_blocks_catalog / MCP list_blocks.",https://www.elahere.com/resources/elahere-stories,cindy_story,default,templateIds: tpl_0,screenshots/blocks/cindy_story__default.png
Real people prescribed ELAHERE share their stories and experiences,Callout Section,Provides additional resources and actions for users.,M,4,"No LLM mapping run. Enable credentials for the block-mapping agent, or assign catalog blocks manually using query_aem_blocks_catalog / MCP list_blocks.",https://www.elahere.com/resources/elahere-stories,callout_section,default,templateIds: tpl_0,screenshots/blocks/callout_section__default.png
Real people prescribed ELAHERE share their stories and experiences,Footer,Contains site-wide footer information and links.,M,7,"No LLM mapping run. Enable credentials for the block-mapping agent, or assign catalog blocks manually using query_aem_blocks_catalog / MCP list_blocks.",https://www.elahere.com/resources/elahere-stories,footer,default,templateIds: tpl_0,screenshots/blocks/footer__default.png
Real people prescribed ELAHERE share their stories and experiences,Exit Modal,Displays a modal dialog when users attempt to exit the page.,M,5,"No LLM mapping run. Enable credentials for the block-mapping agent, or assign catalog blocks manually using query_aem_blocks_catalog / MCP list_blocks.",https://www.elahere.com/resources/elahere-stories,modal_exit,default,templateIds: tpl_0,screenshots/blocks/modal_exit__default.png
Talk to your doctor about ELAHERE with help from a discussion guide,Introduction Content,Introduces the discussion guide feature and its purpose.,M,1,Content layout with potential dynamic elements.,https://www.elahere.com/resources/talking-to-your-doctor,intro_content,Informational content,Not directly mapped to catalog.,screenshots/blocks/intro_content__default.png
