Page Title,UI Component Name,Function description,Tshirt Sizing,Number of occurrences,Complexity justification,Page URL,Source block name,Variation type,Other remarks,screenshot path
Contact a Rep | EMBLAVEO™,Global Utility Strip,"Contains utility links such as safety information, prescribing information, and contact options.",S,8,Basic navigation links with static content.,https://www.emblaveo.com/contact-a-rep,global_utility_strip,Utility strip,Utility navigation is straightforward and unlikely to require complex implementation.,screenshots/blocks/global_utility_strip__default.png
Contact a Rep | EMBLAVEO™,Primary Header,Displays the main branding and navigation for the site.,M,5,"Includes branding and primary navigation, requiring integration with site-wide components.",https://www.emblaveo.com/contact-a-rep,primary_header,Main navigation,Main header includes dynamic branding and navigation elements.,screenshots/blocks/primary_header__default.png
Contact a Rep | EMBLAVEO™,Hero Section,Highlights the primary message or call-to-action for the page.,M,14,Requires dynamic content integration for call-to-action elements.,https://www.emblaveo.com/contact-a-rep,hero_section,Hero banner,Hero sections often include animations or interactive elements.,screenshots/blocks/hero_section__default.png
Contact a Rep | EMBLAVEO™,Main Navigation,Provides the primary navigation links for the site.,C,1,Deep navigation structures with multiple levels and potential dynamic loading.,https://www.emblaveo.com/contact-a-rep,main_navigation,Primary navigation,Main navigation is critical for user experience and accessibility.,screenshots/blocks/main_navigation__default.png
Contact a Rep | EMBLAVEO™,Contact Form,Embedded form for users to contact a representative.,C,1,"Form includes validation, potential CAPTCHA, and backend integration.",https://www.emblaveo.com/contact-a-rep,contact_form,Form,Contact forms require robust validation and secure data handling.,screenshots/blocks/contact_form__default.png
Contact a Rep | EMBLAVEO™,Important Safety Information,Displays critical safety and usage information about the product.,S,1,Static content display with minimal interaction.,https://www.emblaveo.com/contact-a-rep,important_safety_info,Safety information,Safety information must comply with regulatory standards.,screenshots/blocks/important_safety_info__default.png
Contact a Rep | EMBLAVEO™,Footer Links,"Contains links to site map, accessibility statement, and other footer items.",S,10,Simple footer links with static content.,https://www.emblaveo.com/contact-a-rep,footer_links,Footer navigation,Footer links are straightforward and static.,screenshots/blocks/footer_links__default.png
Contact a Rep | EMBLAVEO™,Footer Legal,Displays legal text and copyright information.,S,4,Static text display with no interaction.,https://www.emblaveo.com/contact-a-rep,footer_legal,Legal footer,Legal text is static and requires minimal implementation.,screenshots/blocks/footer_legal__default.png
Contact a Rep | EMBLAVEO™,Back to Top Button,Provides a button to quickly scroll back to the top of the page.,S,5,Simple scroll-to-top functionality.,https://www.emblaveo.com/contact-a-rep,back_to_top,Scroll button,Back to top buttons are standard and straightforward.,screenshots/blocks/back_to_top__default.png
Contact a Rep | EMBLAVEO™,Modal Dialogs,Handles modal popups for user interactions such as leaving the site.,M,1,Dynamic modals with potential interactivity and animations.,https://www.emblaveo.com/contact-a-rep,modal_dialogs,Modal,Modals may include complex content and user interactions.,screenshots/blocks/modal_dialogs__default.png
EMBLAVEO™,Primary Navigation,Main navigation for site sections.,M,9,Relatively complex navigation with potential submenus.,https://www.emblaveo.com/,primary_navigation,Main navigation,No direct match found in the AEM catalog.,screenshots/blocks/primary_navigation__default.png
EMBLAVEO™,Three Column CTA,Highlights key features or actions in three columns.,M,1,Custom layout with potential interactive elements.,https://www.emblaveo.com/,three_column_cta,Three-column layout,No direct match found in the AEM catalog.,screenshots/blocks/three_column_cta__default.png
EMBLAVEO™,Promo Drawer,Displays promotional content in a drawer format.,S,1,Simple promotional drawer with toggling functionality.,https://www.emblaveo.com/,promo_drawer,Promo drawer,No direct match found in the AEM catalog.,screenshots/blocks/promo_drawer__default.png
Site Map | EMBLAVEO™,Sitemap List,Displays the sitemap structure with links to all sections of the website.,M,1,Hierarchical link structure with potential filtering options.,https://www.emblaveo.com/sitemap,sitemap_list,Sitemap display,May need to dynamically generate content based on site structure.,screenshots/blocks/sitemap_list__default.png
Site Map | EMBLAVEO™,Select Next Level,Encourages users to take further actions with call-to-action buttons.,M,5,Interactive elements requiring user engagement.,https://www.emblaveo.com/sitemap,select_next_level,Call-to-action section,Could involve tracking user interactions for analytics.,screenshots/blocks/select_next_level__default.png
