Page Title,UI Component Name,Function description,Tshirt Sizing,Number of occurrences,Complexity justification,Page URL,Source block name,Variation type,Other remarks,screenshot path
"What is Synthroid® (levothyroxine sodium tablets,USP)?",Utility Navigation,"Provides quick access to utility links, such as prescribing information and sign-up options.",M,6,Includes dropdown menus and accessibility considerations.,https://www.synthroid.com/what-is-synthroid,global_utility_navigation,Utility strip,Potential for enhancement in accessibility features.,screenshots/blocks/global_utility_navigation__default.png
"What is Synthroid® (levothyroxine sodium tablets,USP)?",Primary Navigation,Main site navigation allowing users to explore different sections of the website.,C,5,Deep navigation structure with multiple levels.,https://www.synthroid.com/what-is-synthroid,primary_navigation,Main navigation,Requires careful consideration of responsive design and accessibility.,screenshots/blocks/primary_navigation__default.png
"What is Synthroid® (levothyroxine sodium tablets,USP)?",Hero Section,Prominent section introducing the main topic of the page with a title and subtitle.,M,6,Includes large images and headings with styling.,https://www.synthroid.com/what-is-synthroid,hero_section,Hero banner,May require optimization for various screen sizes.,screenshots/blocks/hero_section__default.png
"What is Synthroid® (levothyroxine sodium tablets,USP)?",Cards Section,Displays key information in a card format with icons and text.,M,1,Responsive grid layout and visual styling.,https://www.synthroid.com/what-is-synthroid,cards_section,Information cards,Considerations for accessibility and mobile responsiveness.,screenshots/blocks/cards_section__default.png
"What is Synthroid® (levothyroxine sodium tablets,USP)?",Video Section,Provides a video explaining how Synthroid works.,M,1,Includes video embedding and lazy loading.,https://www.synthroid.com/what-is-synthroid,video_section,Video content,Ensure compatibility with various video sources.,screenshots/blocks/video_section__default.png
"What is Synthroid® (levothyroxine sodium tablets,USP)?",Accordion Section,Contains expandable content for detailed information such as transcripts.,M,1,Expandable content with transitions and accessibility features.,https://www.synthroid.com/what-is-synthroid,accordion_section,Content accordion,May require optimization for keyboard navigation.,screenshots/blocks/accordion_section__default.png
"What is Synthroid® (levothyroxine sodium tablets,USP)?",Call to Action Section,Encourages users to explore additional resources or actions.,S,1,Simple UI with minimal interactions.,https://www.synthroid.com/what-is-synthroid,cta_section,Subscribe,May benefit from enhanced styling to improve visibility.,screenshots/blocks/cta_section__default.png
"What is Synthroid® (levothyroxine sodium tablets,USP)?",Footer Section,"Contains links to additional resources, policies, and contact information.",M,2,Includes multiple links and styling for layout.,https://www.synthroid.com/what-is-synthroid,footer_section,Footer,Ensure consistent styling and accessibility across pages.,screenshots/blocks/footer_section__default.png
Synthroid Official Website,Hero Section (Desktop),Introductory section with video background and key messaging for desktop users.,C,1,Includes multimedia elements and responsive design for desktop users.,https://www.synthroid.com/,hero_section_desktop,Hero with video,Ensure video elements are optimized for performance.,screenshots/blocks/hero_section_desktop__default.png
Synthroid Official Website,Hero Section (Mobile),Introductory section with video background and key messaging for mobile users.,C,1,Includes multimedia elements and responsive design for mobile users.,https://www.synthroid.com/,hero_section_mobile,Hero with video,Optimize for mobile performance and accessibility.,screenshots/blocks/hero_section_mobile__default.png
Synthroid Official Website,Call-to-Action Cards,Highlights key features and actions for users.,M,1,Responsive grid layout with interactive elements.,https://www.synthroid.com/,cta_cards,Grid cards,Verify compatibility with AEM Cards block.,screenshots/blocks/cta_cards__default.png
Synthroid Official Website,Interactive Info Tree,Guides users through a personalized journey based on their responses.,C,1,Interactive and dynamic content requiring user input and response handling.,https://www.synthroid.com/,info_tree,Decision tree,Consider custom implementation or mapping to a similar AEM block.,screenshots/blocks/info_tree__default.png
Synthroid Official Website,Video Story Section,Features a video story about a real user's experience with Synthroid.,M,1,Includes video embedding and lazy loading for performance.,https://www.synthroid.com/,video_story,Embedded video,Ensure video accessibility and compatibility with AEM Video block.,screenshots/blocks/video_story__default.png
Synthroid Official Website,Footer,"Contains site-wide links, legal information, and other resources.",S,2,Basic styling for background and font size.,https://www.synthroid.com/,footer,Site-wide footer,Map to AEM Footer block for standardized implementation.,screenshots/blocks/footer__default.png
Stay Connected with Synthroid®,Primary Header,Provides branding and primary navigation for the site.,M,2,Includes navigation with potential dropdowns.,https://www.synthroid.com/sign-up,primary_header,Main navigation,No matching catalog entry found.,screenshots/blocks/primary_header__default.png
Stay Connected with Synthroid®,Signup Form,Enables user registration with field validations.,C,1,"Includes form handling, validation, and potential integrations.",https://www.synthroid.com/sign-up,signup_form,Form,Catalog entry matched to 'Form'.,screenshots/blocks/signup_form__default.png
Stay Connected with Synthroid®,Safety Information,Displays crucial safety and usage information.,M,3,Content-heavy section with potential legal implications.,https://www.synthroid.com/sign-up,important_safety_information,Informational content,No matching catalog entry found.,screenshots/blocks/important_safety_information__default.png
Stay Connected with Synthroid®,Back to Top,Allows users to quickly navigate to the top of the page.,S,2,Simple button functionality with scroll interaction.,https://www.synthroid.com/sign-up,back_to_top_button,Utility button,No matching catalog entry found.,screenshots/blocks/back_to_top_button__default.png
"Search Results - Synthroid® (levothyroxine sodium tablets,USP)",Search Results,Displays search results and filtering options.,C,1,Involves dynamic data display and filtering logic.,https://www.synthroid.com/search-results,search_results,Search and filters,Mapped to 'Search' in the catalog.,screenshots/blocks/search_results__default.png
"Search Results - Synthroid® (levothyroxine sodium tablets,USP)",Back to Top,Provides a button to quickly navigate back to the top of the page.,S,1,Simple functionality with minimal styling.,https://www.synthroid.com/search-results,back_to_top,Scroll to top,No exact match found in the catalog.,screenshots/blocks/back_to_top__default.png
Sitemap - Synthroid,Sitemap Links,Categorized links for site navigation.,M,1,Dynamic content generation.,https://www.synthroid.com/sitemap,sitemap_links,Categorized links,No direct match in catalog.,screenshots/blocks/sitemap_links__default.png
Sitemap - Synthroid,Footer Links,Provides additional navigation and informational links.,S,1,Static footer content.,https://www.synthroid.com/sitemap,footer_links,Footer navigation,No direct match in catalog.,screenshots/blocks/footer_links__default.png
