Page Title,UI Component Name,Function description,Tshirt Sizing,Number of occurrences,Complexity justification,Page URL,Source block name,Variation type,Other remarks,screenshot path
Learn About Crohn’s Disease and Ulcerative Colitis | Crohn’s and Colitis,Utility Navigation,Provides quick access links for utility navigation.,M,13,Requires accessibility features for navigation and interaction.,https://www.crohnsandcolitis.com/,global_utility_strip,Utility strip,Includes contact and subscribe links.,screenshots/blocks/global_utility_strip__default.png
Learn About Crohn’s Disease and Ulcerative Colitis | Crohn’s and Colitis,Primary Navigation,Provides main navigation links for site structure.,C,16,Deep navigation structure and accessibility considerations.,https://www.crohnsandcolitis.com/,primary_navigation,Main navigation,Includes links to key sections of the site.,screenshots/blocks/primary_navigation__default.png
Learn About Crohn’s Disease and Ulcerative Colitis | Crohn’s and Colitis,Hero Section,Displays a prominent introductory message with imagery.,M,28,Requires responsive design and visual prominence.,https://www.crohnsandcolitis.com/,hero_section,Hero with image and text,Highlights the main message of the page.,screenshots/blocks/hero_section__default.png
Learn About Crohn’s Disease and Ulcerative Colitis | Crohn’s and Colitis,Call-to-Action Section,Encourages user engagement through clickable links or buttons.,M,2,Interactive elements and visual design.,https://www.crohnsandcolitis.com/,cta_section,Subscribe or learn more CTAs,Focuses on user interaction and engagement.,screenshots/blocks/cta_section__default.png
Learn About Crohn’s Disease and Ulcerative Colitis | Crohn’s and Colitis,Footer Section,Displays site-wide links and legal information.,S,5,Relatively simple structure with static content.,https://www.crohnsandcolitis.com/,footer_section,Footer with links and legal details,Includes basic footer functionality.,screenshots/blocks/footer_section__default.png
Learn About Crohn’s Disease and Ulcerative Colitis | Crohn’s and Colitis,Back to Top Button,Allows users to quickly return to the top of the page.,S,7,Simple functionality with minor accessibility concerns.,https://www.crohnsandcolitis.com/,back_to_top,Back to top,Enhances user navigation.,screenshots/blocks/back_to_top__default.png
Learn About Crohn’s Disease and Ulcerative Colitis | Crohn’s and Colitis,Modal Overlay,Displays interactive modal dialogs for additional information or actions.,M,1,Requires interaction design and accessibility compliance.,https://www.crohnsandcolitis.com/,modal_overlay,Informational modal,Interactive component for additional details.,screenshots/blocks/modal_overlay__default.png
Crohn’s Disease Information Homepage,Primary Header,"Displays site branding, logo, and main navigation.",C,12,High complexity due to deep navigation and responsive behavior.,https://www.crohnsandcolitis.com/crohns,primary_header,Main navigation,Mapped to 'Header' from catalog.,screenshots/blocks/primary_header__default.png
Crohn’s Disease Information Homepage,Main CTA Columns,Presents primary call-to-actions in a structured layout.,M,1,Moderate complexity due to layout and interactive elements.,https://www.crohnsandcolitis.com/crohns,main_cta_columns,CTA grid,No exact match found in catalog.,screenshots/blocks/main_cta_columns__default.png
Crohn’s Disease Information Homepage,Information Section,Provides detailed information about the topic in a structured format.,M,1,Moderate complexity due to content density.,https://www.crohnsandcolitis.com/crohns,information_section,Informational content,No exact match found in catalog.,screenshots/blocks/information_section__default.png
Crohn’s Disease Information Homepage,Subscription CTA,Encourages users to subscribe for updates and information.,M,2,Moderate complexity due to interactive subscription form.,https://www.crohnsandcolitis.com/crohns,subscription_cta,Subscribe,No exact match found in catalog.,screenshots/blocks/subscription_cta__default.png
Crohn’s Disease Information Homepage,Footer,"Displays site-wide links, legal information, and social media buttons.",S,9,Low complexity due to straightforward layout.,https://www.crohnsandcolitis.com/crohns,footer,Footer navigation,Mapped to 'Footer' from catalog.,screenshots/blocks/footer__default.png
Ulcerative Colitis Information Homepage,Global Utility Navigation,Provides quick access to utility links and navigation options.,M,15,Model output omitted this blockId after catalog review. Mapped as Unmapped; re-run mapping or fix agent output.,https://www.crohnsandcolitis.com/ulcerative-colitis,global_utility_navigation,default,templateIds: tpl_2,screenshots/blocks/global_utility_navigation__default.png
Ulcerative Colitis Information Homepage,Main Navigation,Provides primary navigation links for the site.,M,5,Model output omitted this blockId after catalog review. Mapped as Unmapped; re-run mapping or fix agent output.,https://www.crohnsandcolitis.com/ulcerative-colitis,main_navigation,default,templateIds: tpl_2,screenshots/blocks/main_navigation__default.png
Ulcerative Colitis Information Homepage,Informational Columns,Presents information in a multi-column layout.,M,1,Model output omitted this blockId after catalog review. Mapped as Unmapped; re-run mapping or fix agent output.,https://www.crohnsandcolitis.com/ulcerative-colitis,informational_columns,default,templateIds: tpl_2,screenshots/blocks/informational_columns__default.png
Ulcerative Colitis Information Homepage,Footer Social Links,Provides links to social media platforms.,M,1,Model output omitted this blockId after catalog review. Mapped as Unmapped; re-run mapping or fix agent output.,https://www.crohnsandcolitis.com/ulcerative-colitis,footer_social_links,default,templateIds: tpl_2,screenshots/blocks/footer_social_links__default.png
Ulcerative Colitis Information Homepage,Footer Navigation,Displays footer navigation links organized by categories.,M,3,Model output omitted this blockId after catalog review. Mapped as Unmapped; re-run mapping or fix agent output.,https://www.crohnsandcolitis.com/ulcerative-colitis,footer_navigation,default,templateIds: tpl_2,screenshots/blocks/footer_navigation__default.png
Biologics for Crohn’s Disease | Crohn’s Disease Treatments,In-Page Navigation,Provides quick links to specific sections within the page.,S,6,Simple list structure for navigation.,https://www.crohnsandcolitis.com/crohns/biologics-for-crohns,on_this_page_links,Anchor links,No direct match in AEM catalog.,screenshots/blocks/on_this_page_links__default.png
Biologics &amp; Targeted Oral Small Molecules | Crohn’s Disease,On This Page CTAs,Provides quick links to sections within the page for easy navigation.,S,7,Basic internal navigation without complex logic.,https://www.crohnsandcolitis.com/crohns/targeted-treatments,on_this_page_ctas,Quick navigation,No matching catalog entry found.,screenshots/blocks/on_this_page_ctas__default.png
Biologics &amp; Targeted Oral Small Molecules | Crohn’s Disease,Biologics Section,Explains the use and differences of biologics for Crohn's disease.,M,2,Content-focused section with detailed information.,https://www.crohnsandcolitis.com/crohns/targeted-treatments,biologics_section,Informational content,No matching catalog entry found.,screenshots/blocks/biologics_section__default.png
Biologics &amp; Targeted Oral Small Molecules | Crohn’s Disease,Types of Biologics,Describes various types of biologics available for treatment.,M,1,Content-focused section with detailed information.,https://www.crohnsandcolitis.com/crohns/targeted-treatments,types_of_biologics,Informational content,No matching catalog entry found.,screenshots/blocks/types_of_biologics__default.png
Biologics &amp; Targeted Oral Small Molecules | Crohn’s Disease,Small Molecules Section,Provides information on targeted oral small molecules as a treatment option.,M,2,Content-focused section with detailed information.,https://www.crohnsandcolitis.com/crohns/targeted-treatments,small_molecules_section,Informational content,No matching catalog entry found.,screenshots/blocks/small_molecules_section__default.png
Biologics &amp; Targeted Oral Small Molecules | Crohn’s Disease,Recommended Topics,Suggests related topics and resources for further reading.,S,9,Basic links to related topics.,https://www.crohnsandcolitis.com/crohns/targeted-treatments,recommended_topics,Related links,No matching catalog entry found.,screenshots/blocks/recommended_topics__default.png
