Page Title,UI Component Name,Function description,Tshirt Sizing,Number of occurrences,Complexity justification,Page URL,Source block name,Variation type,Other remarks
ORIAHNN® for Heavy Menstrual Bleeding Due to Uterine Fibroids,Global Utility Navigation,"Provides quick access to safety information, prescribing information, and other important links.",M,1,Model output omitted this blockId after catalog review. Mapped as Unmapped; re-run mapping or fix agent output.,https://www.oriahnn.com/,global_utility_navigation,default,templateIds: tpl_0
ORIAHNN® for Heavy Menstrual Bleeding Due to Uterine Fibroids,Primary Navigation,"Main site navigation with links to key sections like About ORIAHNN, Get Started, and Savings.",M,1,Model output omitted this blockId after catalog review. Mapped as Unmapped; re-run mapping or fix agent output.,https://www.oriahnn.com/,primary_navigation,default,templateIds: tpl_0
ORIAHNN® for Heavy Menstrual Bleeding Due to Uterine Fibroids,Hero Section,Prominent hero section with a headline and supporting text to engage visitors.,M,1,Model output omitted this blockId after catalog review. Mapped as Unmapped; re-run mapping or fix agent output.,https://www.oriahnn.com/,hero_section,default,templateIds: tpl_0
ORIAHNN® for Heavy Menstrual Bleeding Due to Uterine Fibroids,Call-to-Action Section,"Highlights key actions users can take, such as learning about ORIAHNN or accessing savings.",M,1,Model output omitted this blockId after catalog review. Mapped as Unmapped; re-run mapping or fix agent output.,https://www.oriahnn.com/,cta_section,default,templateIds: tpl_0
ORIAHNN® for Heavy Menstrual Bleeding Due to Uterine Fibroids,Icon and Text Section,Displays information about proven results with an accompanying icon.,M,1,Model output omitted this blockId after catalog review. Mapped as Unmapped; re-run mapping or fix agent output.,https://www.oriahnn.com/,icon_text_section,default,templateIds: tpl_0
ORIAHNN® for Heavy Menstrual Bleeding Due to Uterine Fibroids,Savings Card Section,Information and call-to-action for accessing the ORIAHNN Savings Card.,M,1,Model output omitted this blockId after catalog review. Mapped as Unmapped; re-run mapping or fix agent output.,https://www.oriahnn.com/,savings_card_section,default,templateIds: tpl_0
ORIAHNN® for Heavy Menstrual Bleeding Due to Uterine Fibroids,Important Safety Information,"Detailed safety information about ORIAHNN, including risks and side effects.",M,1,Model output omitted this blockId after catalog review. Mapped as Unmapped; re-run mapping or fix agent output.,https://www.oriahnn.com/,important_safety_information,default,templateIds: tpl_0
ORIAHNN® for Heavy Menstrual Bleeding Due to Uterine Fibroids,Footer,Contains site-wide footer links and additional navigation.,M,1,Model output omitted this blockId after catalog review. Mapped as Unmapped; re-run mapping or fix agent output.,https://www.oriahnn.com/,footer,default,templateIds: tpl_0
"ORIAHNN® Savings, Insurance and Support",Global Utility Navigation,Provides quick access to important links such as safety information and prescribing information.,S,1,Basic navigation links with minimal interactivity.,https://www.oriahnn.com/savings-card,global_utility_navigation,Utility strip,"Commonly used for quick access links.  Model suggested ""Utility Navigation"" (not an exact catalog name — use query_aem_blocks_catalog)."
"ORIAHNN® Savings, Insurance and Support",Primary Navigation,Main site navigation for accessing different sections of the website.,M,1,Includes hierarchical navigation and potentially dropdown menus.,https://www.oriahnn.com/savings-card,primary_navigation,Main navigation,"Central navigation element for the site.  Model suggested ""Global Navigation Bar"" (not an exact catalog name — use query_aem_blocks_catalog)."
"ORIAHNN® Savings, Insurance and Support",Hero Section,Prominent section introducing the savings card with a background image and title.,M,1,Hero sections often include responsive design and dynamic content.,https://www.oriahnn.com/savings-card,hero_section,Hero image and title,Key visual element of the page.
"ORIAHNN® Savings, Insurance and Support",Introduction Columns,Provides an introductory message about affordability and treatment.,S,1,Simple column layout for text and images.,https://www.oriahnn.com/savings-card,intro_columns,Text columns,Used for introductory content.
"ORIAHNN® Savings, Insurance and Support",Savings Card Section,Highlights the savings card offer with an image and description.,M,1,Includes card layout with images and text.,https://www.oriahnn.com/savings-card,savings_card_section,Card layout,Focused on promotional content.
"ORIAHNN® Savings, Insurance and Support",Eligibility Form,Embedded form for users to check their eligibility for the savings card.,C,1,"Form handling requires validation, accessibility, and backend integration.",https://www.oriahnn.com/savings-card,eligibility_form,Eligibility form,Critical for user interaction and data collection.
"ORIAHNN® Savings, Insurance and Support",Support Section,Offers support information and contact details for assistance.,S,1,Static information with minimal interactivity.,https://www.oriahnn.com/savings-card,support_section,Support information,"Enhances user experience by providing help options.  Model suggested ""Support"" (not an exact catalog name — use query_aem_blocks_catalog)."
"ORIAHNN® Savings, Insurance and Support",Important Safety Information,Displays critical safety information about the product.,S,1,Static text content with potential legal implications.,https://www.oriahnn.com/savings-card,important_safety_information,Safety information,"Mandatory content for compliance.  Model suggested ""Important Safety Information"" (not an exact catalog name — use query_aem_blocks_catalog)."
ORIAHNN® Side Effects and Safety Considerations,Utility Navigation,Provides quick access to important links such as safety information and prescribing guides.,S,1,Simple navigation links without complex interactivity.,https://www.oriahnn.com/side-effects-and-safety-considerations,global_utility_navigation,Utility strip,No matching catalog entry found.
ORIAHNN® Side Effects and Safety Considerations,Primary Navigation,Main navigation menu for accessing different sections of the site.,M,1,Primary navigation typically involves more depth and interactivity.,https://www.oriahnn.com/side-effects-and-safety-considerations,primary_navigation,Main navigation,No matching catalog entry found.
ORIAHNN® Side Effects and Safety Considerations,Hero Section,Prominent section highlighting the main topic of the page.,M,1,Hero sections often include dynamic content or visuals.,https://www.oriahnn.com/side-effects-and-safety-considerations,hero_section,Hero,No matching catalog entry found.
ORIAHNN® Side Effects and Safety Considerations,Side Effects Summary,Overview of the most common side effects of the medication.,S,1,Static text content with limited interactivity.,https://www.oriahnn.com/side-effects-and-safety-considerations,side_effects_summary,Summary,No matching catalog entry found.
ORIAHNN® Side Effects and Safety Considerations,Side Effects Details,Detailed information about side effects and their statistics.,M,1,Detailed content often includes tables or charts.,https://www.oriahnn.com/side-effects-and-safety-considerations,side_effects_details,Details,No matching catalog entry found.
