Page Title,UI Component Name,Function description,Tshirt Sizing,Number of occurrences,Complexity justification,Page URL,Source block name,Variation type,Other remarks,screenshot path
Request Field Reimbursement Manager,Global Utility Strip,Displays links to safety and prescribing information.,S,1,Simple link structure with no dynamic content.,https://www.requestfrm.com/,global_utility_strip,Utility strip,Could not map to a specific AEM catalog block.,screenshots/blocks/global_utility_strip__default.png
Request Field Reimbursement Manager,Primary Branding Header,Provides branding and navigation elements for the page.,M,1,"Includes navigation and branding, requiring integration of fragments.",https://www.requestfrm.com/,primary_header,Main navigation,Mapped to AEM Header block.,screenshots/blocks/primary_header__default.png
Request Field Reimbursement Manager,Hero Section,Promotes the primary call-to-action with visual emphasis.,M,1,Includes dynamic styling and potentially responsive design.,https://www.requestfrm.com/,hero_section,Hero banner,Mapped to AEM Hero block.,screenshots/blocks/hero_section__default.png
Request Field Reimbursement Manager,Product Logos,Displays logos of associated products with links.,S,2,Static image display with links.,https://www.requestfrm.com/,product_logos,Logo display,Could not map to a specific AEM catalog block.,screenshots/blocks/product_logos__default.png
Request Field Reimbursement Manager,Content Introduction,Introduces the services offered.,S,1,Simple text content with no dynamic features.,https://www.requestfrm.com/,main_content_intro,Content introduction,Could not map to a specific AEM catalog block.,screenshots/blocks/main_content_intro__default.png
Request Field Reimbursement Manager,Access Information,Details services provided by Field Reimbursement Managers.,M,1,Includes structured layout and potential interactivity.,https://www.requestfrm.com/,dedicated_access_info,Informational section,Could not map to a specific AEM catalog block.,screenshots/blocks/dedicated_access_info__default.png
Request Field Reimbursement Manager,Interactive Form Section,Contains the embedded form for user interaction.,C,1,Interactive form with potential validation and submission handling.,https://www.requestfrm.com/,form_section,Form,Mapped to AEM Form block.,screenshots/blocks/form_section__default.png
Request Field Reimbursement Manager,Footer Safety Links,Provides links to safety information in the footer.,S,1,Static footer with links.,https://www.requestfrm.com/,footer_safety_links,Footer links,Mapped to AEM Footer block.,screenshots/blocks/footer_safety_links__default.png
Sitemap,Header Branding,Displays branding logos and links for the website.,S,1,Simple layout with static branding elements.,https://www.requestfrm.com/sitemap,header_branding,Branding bar,None,screenshots/blocks/header_branding__default.png
Sitemap,Important Safety Links,Provides links to safety and prescribing information.,S,1,Simple links with basic styling.,https://www.requestfrm.com/sitemap,important_safety_links,Safety links,Could be a custom implementation.,screenshots/blocks/important_safety_links__default.png
Sitemap,Main Content,Primary content area of the page.,M,1,Central content with potential dynamic elements.,https://www.requestfrm.com/sitemap,main_content,Main section,"Standard content block.  Model suggested ""Content"" (not an exact catalog name — use query_aem_blocks_catalog).",screenshots/blocks/main_content__default.png
Sitemap,Footer,Displays footer content with links and legal information.,S,1,Basic footer layout and links.,https://www.requestfrm.com/sitemap,footer,Footer section,None,screenshots/blocks/footer__default.png
Sitemap,Back to Top Button,Button to scroll back to the top of the page.,S,1,Simple button with scroll functionality.,https://www.requestfrm.com/sitemap,back_to_top,Scroll button,"None  Model suggested ""Button"" (not an exact catalog name — use query_aem_blocks_catalog).",screenshots/blocks/back_to_top__default.png
Sitemap,Contact Medical Affairs Modal,Modal dialog for contacting medical affairs.,M,1,Interactive modal with form functionality.,https://www.requestfrm.com/sitemap,modal_contact_medical_affairs,Contact modal,None,screenshots/blocks/modal_contact_medical_affairs__default.png
Sitemap,Leaving Site Modal,Modal dialog shown when leaving the site.,M,1,Interactive modal with external link confirmation.,https://www.requestfrm.com/sitemap,modal_leaving_site,Exit modal,None,screenshots/blocks/modal_leaving_site__default.png
