Page Title,UI Component Name,Function description,Tshirt Sizing,Number of occurrences,Complexity justification,Page URL,Source block name,Variation type,Other remarks
Real people prescribed ELAHERE share their stories and experiences,Global Header,Contains the site's main navigation and branding.,M,1,"No LLM mapping run. Enable credentials for the block-mapping agent, or assign catalog blocks manually using query_aem_blocks_catalog / MCP list_blocks.",https://www.elahere.com/resources/elahere-stories,global_header,default,templateIds: tpl_0
Real people prescribed ELAHERE share their stories and experiences,Skip to Main Content Link,Provides a link to skip directly to the main content for accessibility.,M,1,"No LLM mapping run. Enable credentials for the block-mapping agent, or assign catalog blocks manually using query_aem_blocks_catalog / MCP list_blocks.",https://www.elahere.com/resources/elahere-stories,skip_to_main,default,templateIds: tpl_0
Real people prescribed ELAHERE share their stories and experiences,Hero Section,Displays a prominent visual and textual introduction to the page.,M,1,"No LLM mapping run. Enable credentials for the block-mapping agent, or assign catalog blocks manually using query_aem_blocks_catalog / MCP list_blocks.",https://www.elahere.com/resources/elahere-stories,hero_section,default,templateIds: tpl_0
Real people prescribed ELAHERE share their stories and experiences,Jennifer's Story Section,Highlights Jennifer's story with a video and transcript link.,M,1,"No LLM mapping run. Enable credentials for the block-mapping agent, or assign catalog blocks manually using query_aem_blocks_catalog / MCP list_blocks.",https://www.elahere.com/resources/elahere-stories,jennifer_story,default,templateIds: tpl_0
Real people prescribed ELAHERE share their stories and experiences,Heidi's Story Section,Highlights Heidi's story with a video and transcript link.,M,1,"No LLM mapping run. Enable credentials for the block-mapping agent, or assign catalog blocks manually using query_aem_blocks_catalog / MCP list_blocks.",https://www.elahere.com/resources/elahere-stories,heidi_story,default,templateIds: tpl_0
Real people prescribed ELAHERE share their stories and experiences,Cindy's Story Section,Highlights Cindy's story with a video and transcript link.,M,1,"No LLM mapping run. Enable credentials for the block-mapping agent, or assign catalog blocks manually using query_aem_blocks_catalog / MCP list_blocks.",https://www.elahere.com/resources/elahere-stories,cindy_story,default,templateIds: tpl_0
Real people prescribed ELAHERE share their stories and experiences,Callout Section,Provides additional resources and actions for users.,M,1,"No LLM mapping run. Enable credentials for the block-mapping agent, or assign catalog blocks manually using query_aem_blocks_catalog / MCP list_blocks.",https://www.elahere.com/resources/elahere-stories,callout_section,default,templateIds: tpl_0
Real people prescribed ELAHERE share their stories and experiences,Footer,Contains site-wide footer information and links.,M,1,"No LLM mapping run. Enable credentials for the block-mapping agent, or assign catalog blocks manually using query_aem_blocks_catalog / MCP list_blocks.",https://www.elahere.com/resources/elahere-stories,footer,default,templateIds: tpl_0
Real people prescribed ELAHERE share their stories and experiences,Exit Modal,Displays a modal dialog when users attempt to exit the page.,M,1,"No LLM mapping run. Enable credentials for the block-mapping agent, or assign catalog blocks manually using query_aem_blocks_catalog / MCP list_blocks.",https://www.elahere.com/resources/elahere-stories,modal_exit,default,templateIds: tpl_0
Talk to your doctor about ELAHERE with help from a discussion guide,Global Header,Displays the main navigation and branding elements.,M,1,Includes navigation and branding with potential responsive behaviors.,https://www.elahere.com/resources/talking-to-your-doctor,global_header,Main navigation,Matches the AEM catalog block 'Header'.
