Page Title,UI Component Name,Function description,Tshirt Sizing,Number of occurrences,Complexity justification,Page URL,Source block name,Variation type,Other remarks,screenshot path
EMRELIS™ (telisotuzumab-vedotin) – Official Patient Site,Utility Navigation,Provides quick access to utility links such as subscription and contact options.,S,1,Basic navigation links with limited interaction.,https://www.emrelis.com/,utility_navigation,Utility strip,No specific match found in the AEM catalog.,screenshots/blocks/utility_navigation__default.png
EMRELIS™ (telisotuzumab-vedotin) – Official Patient Site,Primary Navigation,Main site navigation for accessing primary sections like prescribing information and medication guide.,M,3,Includes hierarchical navigation and possible dropdowns or interactions.,https://www.emrelis.com/,primary_navigation,Main navigation,No specific match found in the AEM catalog.,screenshots/blocks/primary_navigation__default.png
EMRELIS™ (telisotuzumab-vedotin) – Official Patient Site,Hero Section,Prominent introductory section with a large image and main headline.,M,4,"Includes image handling, responsive design, and prominent text.",https://www.emrelis.com/,hero_section,Hero with image and headline,Matched with the Hero block in the AEM catalog.,screenshots/blocks/hero_section__default.png
EMRELIS™ (telisotuzumab-vedotin) – Official Patient Site,About Section,"Provides detailed information about the EMRELIS medication, its usage, and benefits.",M,1,Content-rich section with potential for interactivity or dynamic updates.,https://www.emrelis.com/,about_emrelis_section,Informative content,No specific match found in the AEM catalog.,screenshots/blocks/about_emrelis_section__default.png
EMRELIS™ (telisotuzumab-vedotin) – Official Patient Site,Clinical Trial Results,Displays the outcomes and statistics from clinical trials of EMRELIS.,M,1,Requires structured data presentation and possible interactivity.,https://www.emrelis.com/,clinical_trial_results,Data display,No specific match found in the AEM catalog.,screenshots/blocks/clinical_trial_results__default.png
EMRELIS™ (telisotuzumab-vedotin) – Official Patient Site,Side Effects Section,Details the potential side effects of using EMRELIS.,M,2,Content-heavy section that might need structured layout.,https://www.emrelis.com/,side_effects_section,Informative content,No specific match found in the AEM catalog.,screenshots/blocks/side_effects_section__default.png
EMRELIS™ (telisotuzumab-vedotin) – Official Patient Site,How It Works Section,Explains the mechanism of action of EMRELIS.,M,2,Educational content that may require interactive elements or animations.,https://www.emrelis.com/,how_it_works_section,Informative content,No specific match found in the AEM catalog.,screenshots/blocks/how_it_works_section__default.png
EMRELIS™ (telisotuzumab-vedotin) – Official Patient Site,Taking EMRELIS Section,Provides guidance on how to take EMRELIS and necessary precautions.,M,2,Instructional content with possible multimedia or interactive features.,https://www.emrelis.com/,taking_emrelis_section,Instructional content,No specific match found in the AEM catalog.,screenshots/blocks/taking_emrelis_section__default.png
Sitemap for EMRELIS™ (telisotuzumab-vedotin),Utility Navigation,Provides quick access to utility links.,S,2,Simple navigation links.,https://www.emrelis.com/sitemap,global_utility_navigation,Utility strip,No matching catalog entry found.,screenshots/blocks/global_utility_navigation__default.png
Sitemap for EMRELIS™ (telisotuzumab-vedotin),CTA Links,Provides call-to-action links.,S,1,Simple link list.,https://www.emrelis.com/sitemap,cta_links_section,Call-to-action links,No matching catalog entry found.,screenshots/blocks/cta_links_section__default.png
